created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-11 19:38:33 UTC,169,2339.0,859.0,30687.0,0.75,24.62,62.28,-481.0,24.85
2018-04-11 19:48:35 UTC,170,2370.0,931.0,30546.0,0.72,24.14,63.23,-482.0,24.9
2018-04-11 19:58:39 UTC,171,1818.0,723.0,23352.0,0.51,24.13,63.37,-482.0,24.9
2018-04-11 20:08:41 UTC,172,1999.0,790.0,25722.0,0.56,23.96,63.9,-481.0,24.9
2018-04-11 20:18:43 UTC,173,1946.0,762.0,25103.0,0.56,23.86,63.82,-483.0,24.9
2018-04-11 20:28:45 UTC,174,1305.0,550.0,16482.0,0.31,23.65,63.87,-483.0,24.9
2018-04-11 20:38:47 UTC,175,444.0,186.0,5618.0,0.05,22.69,67.77,-481.0,24.85
2018-04-11 20:48:49 UTC,176,572.0,216.0,7451.0,0.14,23.08,68.83,-484.0,24.85
2018-04-11 20:58:50 UTC,177,315.0,124.0,4058.0,-0.02,22.44,71.85,-485.0,24.8
2018-04-11 21:08:51 UTC,178,354.0,133.0,4617.0,0.1,22.4,70.18,-486.0,24.8
2018-04-11 21:18:52 UTC,179,242.0,92.0,3147.0,0.06,22.68,69.76,-487.0,24.74
2018-04-11 21:28:52 UTC,180,304.0,118.0,3931.0,0.06,22.27,71.3,-487.0,24.74
2018-04-11 21:38:53 UTC,181,339.0,127.0,4425.0,0.1,23.4,68.21,-488.0,24.69
2018-04-11 21:48:53 UTC,182,359.0,134.0,4690.0,0.1,23.03,69.48,-488.0,24.63
2018-04-11 21:58:53 UTC,183,183.0,69.0,2385.0,-0.15,22.68,70.23,-488.0,24.58
2018-04-11 22:08:54 UTC,184,202.0,79.0,2607.0,0.06,23.13,69.38,-489.0,24.53
2018-04-11 22:18:54 UTC,185,185.0,76.0,2354.0,0.06,22.55,70.39,-489.0,24.53
2018-04-11 22:28:54 UTC,186,232.0,90.0,3000.0,0.05,23.11,67.04,-490.0,24.47
2018-04-11 22:38:54 UTC,187,172.0,65.0,2240.0,0.05,23.0,68.25,-490.0,24.47
2018-04-11 22:48:55 UTC,188,99.0,37.0,1293.0,0.05,23.5,67.35,-490.0,24.42
2018-04-11 22:58:54 UTC,189,42.0,14.0,563.0,0.02,23.06,68.26,-490.0,24.36
2018-04-11 23:08:55 UTC,190,13.0,3.0,181.0,0.01,23.28,67.76,-491.0,24.31
2018-04-11 23:18:54 UTC,191,1.0,1.0,6.0,0.01,22.23,70.02,-492.0,24.26
2018-04-11 23:28:54 UTC,192,0.0,0.0,0.0,-0.01,22.88,67.96,-493.0,24.26
2018-04-11 23:38:54 UTC,193,0.0,0.0,0.0,-0.07,22.89,68.28,-493.0,24.2
